CARPETA|Numero de documentos|Nombres de documentos|Número de documentos de tipo video|Nombre de documentos de tipo video|Tamaño (bytes)|Tamaño (legible)|Formato de video|Tamaño VIDEO_TS (bytes)|Tamaño VIDEO_TS (legible)|Numero de subcarpetas|Nombre de subcarpetas
Underground [1995] YUG Emir Kusturica|0||0||||DVD|4660074496|4.3 GB|1|VIDEO_TS
Une femme douce|4|Une femme douce - Bresson 1969.avi; ._Une femme douce - Bresson 1969.avi; Une femme douce - Bresson 1969.srt; ._Une femme douce - Bresson 1969.srt|2|Une femme douce - Bresson 1969.avi; ._Une femme douce - Bresson 1969.avi|548116850; 4096|522.7 MB; 4.0 KB|avi|||0|
Vacas|4|Vacas - Medem 1992.avi; ._Vacas - Medem 1992.avi; Vacas - Medem 1992.srt; ._Vacas - Medem 1992.srt|2|Vacas - Medem 1992.avi; ._Vacas - Medem 1992.avi|1467889664; 4096|1.4 GB; 4.0 KB|avi|||0|
Veneno para tus labios VO (Another Man's Poison)-1952 VOS Español|2|Veneno para tus labios VO (Another Man's Poison)-1952.avi; Veneno para tus labios VO (Another Man's Poison)-1952.srt|1|Veneno para tus labios VO (Another Man's Poison)-1952.avi|782221312|746.0 MB|avi|||0|
Victor Victoria [1982] US Blake Edwards|2|Victor Victoria (1982) multisub widescreen (moviesbyrizzo).avi; Victor Victoria Postcard.jpg|1|Victor Victoria (1982) multisub widescreen (moviesbyrizzo).avi|2115332320|2.0 GB|avi|||2|mp3 Songs from Victor Victoria; Subtitles flder - Victor Victoria (moviesbyrizzo)
Vida en sombras|2|Vida en sombras - Llobet-Gràcia 1948.avi; ._Vida en sombras - Llobet-Gràcia 1948.avi|2|Vida en sombras - Llobet-Gràcia 1948.avi; ._Vida en sombras - Llobet-Gràcia 1948.avi|634075408; 4096|604.7 MB; 4.0 KB|avi|||0|
Videodrome [1983] CA David Cronenberg|4|1337x.org.txt; KooKoo.nfo; Sample.avi; Videodrome [1983] [UNCUT] [DVDRip] [KooKoo] [1337x].avi|2|Sample.avi; Videodrome [1983] [UNCUT] [DVDRip] [KooKoo] [1337x].avi|6203392; 734395406|5.9 MB; 700.4 MB|avi|||1|Subs
Violette Noziere - Chabrol 1978|2|Violette Noziere - Chabrol 1978.mpg; Violette Noziere - Chabrol 1978.srt|1|Violette Noziere - Chabrol 1978.mpg|1840302080|1.7 GB|mpg|||0|
Viridiana [1961] ES Luis Buñuel|2|Viridiana.avi; Viridiana.srt|1|Viridiana.avi|1565151232|1.5 GB|avi|||0|
Vision Aus dem Leben der Hildegard von Bingen (2009).avi|7|5rFF-vision.eng.srt; ._5rFF-vision.eng.srt; Vision Aus dem Leben der Hildegard von Bingen (2009).avi; Vision Aus dem Leben der Hildegard von Bingen (2009).idx; Vision Aus dem Leben der Hildegard von Bingen (2009).sub; Vision.LIMITED.DVDRip.XviD-SAPHiRE.srt; ._Vision.LIMITED.DVDRip.XviD-SAPHiRE.srt|1|Vision Aus dem Leben der Hildegard von Bingen (2009).avi|1421168378|1.3 GB|avi|||0|
Volver [2006] ES Pedro Almodovar|1|Volver.avi|1|Volver.avi|733532160|699.6 MB|avi|||0|
Voyage dans la Lune [1902] FR Georges Méliès|2|Viaje a la Luna [1902].txt; ViajeALaLuna.jpg|0|||||||1|Le voyage dans la lune (Georges Melies, 1902)
Walk the Line EXTENDED (2005) [1080p]|3|Walk.the.Line.EXTENDED.2005.1080p.BrRip.x264.YIFY.mp4; Walk.the.Line.EXTENDED.2005.1080p.BrRip.x264.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg|1|Walk.the.Line.EXTENDED.2005.1080p.BrRip.x264.YIFY.mp4|2150316509|2.0 GB|mp4|||0|
Wanda|3|Wanda - Loden 1970.avi; ._Wanda - Loden 1970.avi; Wanda - Loden 1970.srt|2|Wanda - Loden 1970.avi; ._Wanda - Loden 1970.avi|1468534784; 4096|1.4 GB; 4.0 KB|avi|||0|
Warum Läuft Herr R Amok|6|Warum lauft Herr R. (Michael Fengler y Rainer Werner Fassbinder, 1969).avi; Warum lauft Herr R. (Michael Fengler y Rainer Werner Fassbinder, 1969).srt; Warum lauft Herr R.avi; Warum lauft Herr R.srt; Warum Läuft Herr R Amok (1970) Fassbinder & Fengler.mpg; Warum Läuft Herr R Amok (1970) Fassbinder & Fengler.srt|3|Warum lauft Herr R. (Michael Fengler y Rainer Werner Fassbinder, 1969).avi; Warum lauft Herr R.avi; Warum Läuft Herr R Amok (1970) Fassbinder & Fengler.mpg|733288448; 733288448; 1355479040|699.3 MB; 699.3 MB; 1.3 GB|avi; mpg|||0|
Watchmen [2009] USA Zack Snyder|1|Watchmen.rmvb|1|Watchmen.rmvb|836643284|797.9 MB|rmvb|||0|
Who Was That Lady [1959] US George Sidney|3|Who Was That Lady - Sidney 1959.avi; ._Who Was That Lady - Sidney 1959.avi; Who Was That Lady - Sidney 1959.srt|2|Who Was That Lady - Sidney 1959.avi; ._Who Was That Lady - Sidney 1959.avi|1467833192; 4096|1.4 GB; 4.0 KB|avi|||0|
Wild at Heart [1990] US David Lynch|2|Wild.at.Heart.1990.BluRay.720p.x264.YIFY.mp4; Wild.at.Heart.1990.BluRay.720p.x264.YIFY.srt|1|Wild.at.Heart.1990.BluRay.720p.x264.YIFY.mp4|1001454388|955.1 MB|mp4|||0|
Willow [1988] US Ron Howard|3|Willow (1988).mkv; Willow.1988.720p.BluRay.x264-HD4U.srt; ._Willow.1988.720p.BluRay.x264-HD4U.srt|1|Willow (1988).mkv|837988175|799.2 MB|mkv|||0|
Woman on the Run - Foster 1950|3|Woman on the Run - Foster 1950.avi; ._Woman on the Run - Foster 1950.avi; Woman on the Run - Foster 1950.srt|2|Woman on the Run - Foster 1950.avi; ._Woman on the Run - Foster 1950.avi|858290176; 4096|818.5 MB; 4.0 KB|avi|||0|
World for Ransom - Aldrich 1954|3|World for Ransom - Aldrich 1954.avi; ._World for Ransom - Aldrich 1954.avi; World for Ransom - Aldrich 1954.srt|2|World for Ransom - Aldrich 1954.avi; ._World for Ransom - Aldrich 1954.avi|734023680; 4096|700.0 MB; 4.0 KB|avi|||0|
Wreck-It Ralph [2012]|2|Wreck.it.Ralph.2012.1080p.BrRip.x264.BOKUTOX.YIFY.mp4; Wreck.it.Ralph.2012.720p.BrRip.x264.BOKUTOX.YIFY.srt|1|Wreck.it.Ralph.2012.1080p.BrRip.x264.BOKUTOX.YIFY.mp4|1506490897|1.4 GB|mp4|||0|
X Men Days of Future Past [2014]|2|WWW.YTS.RE.jpg; X.Men.Days.of.Future.Past.2014.1080p.3D.HSBS.BluRay.x264.YIFY.mp4|1|X.Men.Days.of.Future.Past.2014.1080p.3D.HSBS.BluRay.x264.YIFY.mp4|2097682706|2.0 GB|mp4|||0|
X-Men 2 [2003]|2|X-Men.2.2003.720p.BrRip.x264.YIFY.mp4; X-Men.2.2003.720p.BrRip.x264.YIFY.srt|1|X-Men.2.2003.720p.BrRip.x264.YIFY.mp4|788603114|752.1 MB|mp4|||0|
X-Men [2000]|2|X-Men.2000.1080p.BrRip.x264.YIFY.mp4; X-Men.2000.1080p.BrRip.x264.YIFY.srt|1|X-Men.2000.1080p.BrRip.x264.YIFY.mp4|1408981264|1.3 GB|mp4|||0|
X-Men The Last Stand [2006]|3|X-Men-The.Last.Stand[2006]DvDrip-aXXo.srt; ._X-Men-The.Last.Stand[2006]DvDrip-aXXo.srt; X-Men.The.Last.Stand[2006]DvDrip[Eng]-aXXo.avi|1|X-Men.The.Last.Stand[2006]DvDrip[Eng]-aXXo.avi|735660032|701.6 MB|avi|||0|
Yoyo [1965] FR Pierre Etaix|3|Yoyo - Etaix 1964.avi; ._Yoyo - Etaix 1964.avi; Yoyo - Etaix 1964.srt|2|Yoyo - Etaix 1964.avi; ._Yoyo - Etaix 1964.avi|733847552; 4096|699.9 MB; 4.0 KB|avi|||0|
Yves Saint Laurent [2014]|2|Yves.Saint.Laurent.2014.1080p.BluRay.x264.anoXmous_.mp4; Yves.Saint.Laurent.2014.1080p.BluRay.x264.anoXmous_eng.srt|1|Yves.Saint.Laurent.2014.1080p.BluRay.x264.anoXmous_.mp4|2095466634|2.0 GB|mp4|||0|
Zombie 108 [2012] TAIWAN Joe Chein|2|Zombie 108.2012.Dvdrip.avi; Zombie 108.ass|1|Zombie 108.2012.Dvdrip.avi|733672884|699.7 MB|avi|||1|SubsENG
Zoolander 2001|1|Zoolander.2001.720p.BRRip.750MB.MkvCage.com.mkv|1|Zoolander.2001.720p.BRRip.750MB.MkvCage.com.mkv|786105655|749.7 MB|mkv|||0|
¡Átame! [1989] ES Pedro Almodovar|1|Atame!.avi|1|Atame!.avi|734099456|700.1 MB|avi|||0|
